Gender,Age at time of application,Year of Application,A-levels scores,Education,University Name,Address,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Refree 1,Refree 2,Refree 3,Was Hired by a Company within 6 months
Male,41,2005,47,Business,NEWMAN UNIVERSITY,Derbyshire,None,None,0,1,Salaried:Arts,Contractual:Arts,Contractual:Transportation,0
Female,41,2017,52,Law,NORWICH UNIVERSITY OF THE ARTS,Merseyside,Salaried,Health,113288,0,NA,NA,NA,0
Trans,48,2017,81,Business,UNIVERSITY OF EAST ANGLIA,Berkshire,Contractual,Engineering,129169,1,Salaried:Law,Self Business:Engineering,Contractual:Engineering,1
Trans,43,2013,56,STEM,NORTHUMBRIA UNIVERSITY NEWCASTLE,Kent,Salaried,Transportation,138020,0,NA,NA,NA,0
Female,44,2012,73,Business,UNIVERSITY OF EAST LONDON,Shetland Islands,Salaried,Accounting,134335,0,NA,NA,NA,0
Female,48,2003,65,Business,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,Falkirk,None,None,0,0,NA,NA,NA,0
Non-binary,42,2020,76,STEM,UNIVERSITY OF CAMBRIDGE,Monmouthshire,None,None,98998,1,Salaried:Law,Contractual:Law,Self Business:Accounting,0
Male,42,1998,58,Arts,UNIVERSITY OF LONDON,Greater London,Self Business,IT,143674,1,Contractual:Arts,Self Business:Health,Contractual:Accounting,0
Male,48,2012,78,Business, University of Oxford,Scottish Borders,Salaried,IT,59151,1,Self Business:Health,Self Business:Engineering,Contractual:IT,1
Female,42,2005,58,Law,SOUTHAMPTON SOLENT UNIVERSITY,Greater London,Salaried,Health,81102,0,NA,NA,NA,0
Male,42,2008,74,Arts,UNIVERSITY OF GLOUCESTERSHIRE,Devon,None,None,60753,1,Salaried:Transportation,Contractual:Accounting,Salaried:Engineering,0
Male,40,1999,51,STEM,THE UNIVERSITY OF BUCKINGHAM,Renfrewshire,Salaried,Arts,99036,1,Contractual:Accounting,Salaried:Law,Contractual:Engineering,0
Non-binary,44,2007,40,STEM,UNIVERSITY OF GREENWICH,North Ayrshire,Salaried,Accounting,83975,0,NA,NA,NA,0
Non-binary,48,2015,45,Arts,TEESSIDE UNIVERSITY,Armagh,Contractual,Accounting,132260,1,Self Business:Law,Contractual:Health,Contractual:Arts,0
Non-binary,41,2015,67,Arts,KING'S COLLEGE LONDON,Caernarvonshire,Contractual,Accounting,45318,0,NA,NA,NA,0
Trans,40,2019,53,Law,PRIFYSGOL ABERYSTWYTH,Cornwall,Self Business,Arts,50726,1,Self Business:Law,Contractual:Accounting,Contractual:Arts,0
Male,40,2014,82,Law,"ST. GEORGE'S, UNIVERSITY OF LONDON",Hampshire,Self Business,Health,0,1,Self Business:Transportation,Salaried:Accounting,Contractual:Engineering,1
Female,49,2016,51,STEM,NEWMAN UNIVERSITY,Somerset,None,None,0,0,NA,NA,NA,0
Trans,46,2010,76,Law,"ARTS UNIVERSITY BOURNEMOUTH, THE",Merionethshire,Self Business,Transportation,131869,1,Contractual:IT,Salaried:IT,Salaried:Arts,0
Trans,43,2021,74,STEM,GUILDHALL SCHOOL OF MUSIC & DRAMA,Down,Salaried,Health,88200,0,NA,NA,NA,0
Male,47,2004,82,Business,IMPERIAL COLLEGE LONDON,East Sussex,Salaried,Health,0,1,Salaried:IT,Salaried:Law,Contractual:Accounting,1
Female,48,2005,65,Law,PLYMOUTH UNIVERSITY,Lincolnshire,Self Business,Engineering,96609,1,Self Business:IT,Self Business:IT,Salaried:Engineering,0
Female,46,2014,61,STEM,OXFORD BROOKES UNIVERSITY,Antrim,None,None,0,0,NA,NA,NA,0
Non-binary,40,2012,52,STEM,UNIVERSITY OF PORTSMOUTH,Cambridgeshire,Self Business,IT,50697,1,Contractual:Accounting,Salaried:Law,Salaried:Transportation,0
Female,42,2010,55,Business,LONDON BUSINESS SCHOOL,North Lanarkshire,None,None,0,0,NA,NA,NA,0
Male,44,2011,82,Business,GOLDSMITHS' COLLEGE,East Ayrshire,Contractual,Law,0,1,Self Business:Accounting,Salaried:Law,Contractual:Engineering,1
Male,44,2007,64,Business,UNIVERSITY OF READING,Moray,Salaried,Law,90742,1,Contractual:Accounting,Self Business:Engineering,Self Business:Law,0
Female,46,2022,73,Law,UNIVERSITY OF WARWICK,Cambridgeshire,Contractual,Transportation,103479,0,NA,NA,NA,0
Female,42,2017,74,Business,UNIVERSITY OF WOLVERHAMPTON,Greater London,Contractual,Arts,67019,0,NA,NA,NA,0
Female,40,2002,62,Law,NORTHUMBRIA UNIVERSITY NEWCASTLE,Lancashire,None,None,53305,1,Contractual:IT,Self Business:Transportation,Salaried:Transportation,0
Trans,48,2006,81,Arts,UNIVERSITY OF STRATHCLYDE,Essex,Self Business,Transportation,117710,1,Self Business:IT,Self Business:Arts,Contractual:Health,1
Female,41,2021,55,Law,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,East Renfrewshire,Salaried,Accounting,74752,1,Self Business:Health,Contractual:Health,Contractual:Transportation,0
Trans,41,2011,73,Arts,"UNIVERSITY OF THE ARTS, LONDON",Hampshire,None,None,99054,0,NA,NA,NA,0
Female,46,2018,48,STEM,ROYAL CONSERVATOIRE OF SCOTLAND,Lincolnshire,None,None,0,1,Contractual:Accounting,Contractual:Arts,Self Business:Transportation,0
Female,42,1999,88,STEM,University College London,North Yorkshire,Self Business,Health,134267,1,Self Business:IT,Self Business:Health,Contractual:IT,1
Male,48,1998,79,Arts,"ST MARY'S UNIVERSITY, TWICKENHAM",South Ayrshire,None,None,0,0,NA,NA,NA,0
Male,47,2005,47,Arts,BRUNEL UNIVERSITY,East Renfrewshire,None,None,0,0,NA,NA,NA,0
Trans,44,2022,46,Law,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,Aberdeen City,Contractual,Law,103195,1,Contractual:Transportation,Contractual:Accounting,Contractual:Transportation,0
Trans,41,2006,54,STEM,SWANSEA UNIVERSITY,Stirling,Self Business,Arts,119696,0,NA,NA,NA,0
Trans,47,2000,55,Law,UNIVERSITY COLLEGE LONDON,Cheshire,Contractual,Transportation,44819,1,Salaried:Law,Contractual:Accounting,Contractual:Health,0
Trans,45,1999,51,Arts,UNIVERSITY OF CENTRAL LANCASHIRE,Glamorgan,Contractual,Health,123752,0,NA,NA,NA,0
Trans,44,2018,59,STEM,UNIVERSITY OF BRIGHTON,Shetland Islands,Self Business,Accounting,106794,1,Contractual:Transportation,Salaried:Transportation,Self Business:Arts,0
Trans,48,2004,77,STEM,SWANSEA METROPOLITAN UNIVERSITY,Falkirk,Salaried,Accounting,116292,0,NA,NA,NA,0
Non-binary,44,2008,48,STEM,"ST. GEORGE'S, UNIVERSITY OF LONDON",Inverclyde,Self Business,IT,74567,0,NA,NA,NA,0
Non-binary,43,2007,85,Business,UNIVERSITY OF BRISTOL,Dundee City,Salaried,IT,97069,1,Salaried:Health,Self Business:Transportation,Contractual:Engineering,1
Male,41,2015,82,Law,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,Orkney Islands,Salaried,Arts,146513,1,Self Business:IT,Self Business:Transportation,Contractual:Arts,1
Trans,41,2016,66,Business,UNIVERSITY OF LINCOLN,Pembrokeshire,Self Business,Arts,120527,1,Salaried:Accounting,Contractual:IT,Salaried:Arts,0
Female,40,2018,43,Business,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,Moray,Salaried,Accounting,95039,1,Self Business:Engineering,Self Business:Accounting,Contractual:Engineering,0
Female,41,2016,57,STEM,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,Essex,None,None,0,0,NA,NA,NA,0
Female,40,2006,45,STEM,MIDDLESEX UNIVERSITY,Cambridgeshire,None,None,0,1,Salaried:Engineering,Contractual:Engineering,Contractual:Transportation,0
Trans,44,2020,44,Arts,UNIVERSITY COLLEGE LONDON,Montgomeryshire,Salaried,Health,40346,0,NA,NA,NA,0
Non-binary,49,2011,71,Arts,UNIVERSITY COLLEGE LONDON,Scottish Borders,Contractual,Engineering,149975,0,NA,NA,NA,0
Non-binary,41,2013,40,Arts,QUEEN'S UNIVERSITY OF BELFAST,South Lanarkshire,Salaried,Accounting,147225,1,Self Business:Health,Contractual:Transportation,Contractual:Arts,0
Male,42,2017,46,Arts,PLYMOUTH UNIVERSITY,Aberdeen City,Contractual,Accounting,57091,1,Contractual:IT,Contractual:Law,Contractual:IT,0
Trans,49,2013,65,Business,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,Montgomeryshire,Salaried,Engineering,82195,1,Salaried:Health,Salaried:Accounting,Salaried:Health,0
Non-binary,42,2019,49,Law,WRITTLE COLLEGE,Worcestershire,None,None,0,0,NA,NA,NA,0
Trans,43,1998,78,Business,STAFFORDSHIRE UNIVERSITY,Cardiganshire,Salaried,Engineering,133809,1,Self Business:Law,Contractual:Arts,Contractual:Engineering,0
Female,46,2009,79,STEM,"UNIVERSITY OF SALFORD, THE",South Yorkshire,None,None,0,0,NA,NA,NA,0
Non-binary,45,2009,42,Arts,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,South Lanarkshire,None,None,0,1,Salaried:Law,Salaried:Health,Self Business:IT,0
Non-binary,45,2014,41,Law,UNIVERSITY OF GLASGOW,Worcestershire,Contractual,Engineering,130027,0,NA,NA,NA,0
Non-binary,41,2009,82,STEM,UNIVERSITY OF SUSSEX,Berkshire,Contractual,Accounting,42451,1,Salaried:Transportation,Salaried:Law,Contractual:Transportation,1
Male,44,2006,45,Arts,SOUTHAMPTON SOLENT UNIVERSITY,Argyll and Bute,Self Business,Arts,110457,1,Salaried:Law,Self Business:Transportation,Self Business:Health,0
Trans,49,2010,70,Law,UNIVERSITY OF BRISTOL,West Midlands,None,None,148052,1,Contractual:Engineering,Contractual:Transportation,Contractual:Engineering,0
Non-binary,41,2004,60,Law,HARPER ADAMS UNIVERSITY,West Midlands,Self Business,Accounting,128991,1,Contractual:Accounting,Contractual:Law,Contractual:Accounting,0
Male,46,2002,71,STEM,UNIVERSITY OF LINCOLN,Argyll and Bute,None,None,0,1,Salaried:Accounting,Contractual:Health,Salaried:Engineering,0
Female,45,2001,55,STEM,PRIFYSGOL ABERYSTWYTH,Surrey,None,None,98224,1,Self Business:Transportation,Salaried:Engineering,Self Business:Engineering,0
Female,43,2020,87,Business,IMPERIAL COLLEGE LONDON,Wiltshire,Self Business,Engineering,64019,1,Salaried:Engineering,Salaried:Transportation,Contractual:Health,1
Female,49,2011,45,STEM,UNIVERSITY OF EAST ANGLIA,East Ayrshire,Salaried,Law,75991,0,NA,NA,NA,0
Non-binary,46,2011,83,Law,SHEFFIELD HALLAM UNIVERSITY,East Dunbartonshire,Self Business,IT,143856,1,Self Business:Health,Salaried:Law,Contractual:Accounting,1
Non-binary,43,2008,77,Business,BUCKINGHAMSHIRE NEW UNIVERSITY,North Lanarkshire,Self Business,Accounting,117562,0,NA,NA,NA,0
Male,43,2001,52,Business,OPEN UNIVERSITY(THE),Gloucestershire,None,None,0,0,NA,NA,NA,0
Male,47,2009,48,Law,UNIVERSITY COLLEGE LONDON,Dorset,None,None,118686,0,NA,NA,NA,0
Trans,44,2008,54,STEM,SOUTHAMPTON SOLENT UNIVERSITY,East Sussex,None,None,0,1,Contractual:Accounting,Contractual:Health,Contractual:Accounting,0
Non-binary,47,2015,60,STEM,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),Anglesey,Salaried,Engineering,149356,0,NA,NA,NA,0
Non-binary,40,2005,79,Law,SWANSEA UNIVERSITY,Cambridgeshire,Self Business,Accounting,111657,0,NA,NA,NA,0
Non-binary,45,2014,42,STEM,UNIVERSITY OF BIRMINGHAM,Cornwall,Salaried,Health,64414,1,Salaried:Health,Self Business:Arts,Contractual:Engineering,0
Male,49,1998,87,STEM,UNIVERSITY OF KEELE,Surrey,Contractual,Law,107632,1,Self Business:Law,Self Business:Transportation,Contractual:Accounting,1
Trans,40,2015,86,Business,GLASGOW CALEDONIAN UNIVERSITY,Surrey,Salaried,Law,0,1,Salaried:IT,Salaried:Transportation,Contractual:Health,1
Non-binary,40,2021,60,Business,CARDIFF METROPOLITAN UNIVERSITY,Dumfries and Galloway,None,None,0,0,NA,NA,NA,0
Male,40,2017,85,Business,ST MARY'S UNIVERSITY COLLEGE,Perth and Kinross,Contractual,Engineering,72062,1,Salaried:Transportation,Salaried:Accounting,Contractual:Health,1
Trans,42,2009,70,Business,PRIFYSGOL ABERYSTWYTH,Greater Manchester,None,None,0,0,NA,NA,NA,0
Male,49,2010,47,STEM,UNIVERSITY OF ST ANDREWS,East Sussex,Self Business,IT,113231,0,NA,NA,NA,0
Male,43,2014,73,Law,UNIVERSITY OF LEEDS,Buckinghamshire,Contractual,Engineering,84326,0,NA,NA,NA,0
Female,41,2010,42,Law,CANTERBURY CHRIST CHURCH UNIVERSITY,Cambridgeshire,Salaried,Transportation,63716,0,NA,NA,NA,0
Trans,43,2004,76,Arts,MANCHESTER METROPOLITAN UNIVERSITY,Kent,Contractual,Transportation,134423,1,Salaried:Transportation,Salaried:Engineering,Contractual:Accounting,1
Male,49,2004,89,Business,THE ROBERT GORDON UNIVERSITY,Lincolnshire,Contractual,Arts,139901,1,Salaried:Law,Contractual:Transportation,Self Business:Health,1
Non-binary,48,2017,48,STEM,UNIVERSITY OF PORTSMOUTH,Cardiganshire,Contractual,Transportation,94732,1,Salaried:Law,Salaried:Health,Contractual:Engineering,0
Female,47,2017,41,Arts,UNIVERSITY OF HUDDERSFIELD,Aberdeenshire,None,None,0,0,NA,NA,NA,0
Male,47,2018,81,Business,UNIVERSITY OF LEICESTER,Berkshire,Self Business,Accounting,149348,1,Self Business:Health,Self Business:Engineering,Contractual:Accounting,1
Female,46,2004,60,Law,UNIVERSITY OF ST ANDREWS,Shropshire,Self Business,Law,119634,0,NA,NA,NA,0
Female,40,2020,45,Law,"UNIVERSITY OF NORTHAMPTON,THE",West Berkshire,Contractual,Transportation,111012,0,NA,NA,NA,0
Female,48,2009,89,STEM,IMPERIAL COLLEGE LONDON,Bedfordshire,Contractual,Accounting,116424,1,Self Business:Arts,Self Business:Transportation,Contractual:Engineering,1
Non-binary,48,2022,84,Arts,UNIVERSITY OF DURHAM,Berkshire,Salaried,Health,146619,1,Self Business:IT,Salaried:Health,Contractual:Engineering,1
Female,40,1999,76,Arts,UNIVERSITY OF CAMBRIDGE,Greater Manchester,Self Business,Law,147653,1,Contractual:Law,Contractual:Transportation,Contractual:Transportation,0
Trans,44,2020,50,Law,UNIVERSITY OF BRIGHTON,Clackmannanshire,Contractual,Transportation,106275,0,NA,NA,NA,0
Non-binary,46,2013,45,STEM,UNIVERSITY OF HERTFORDSHIRE,South Ayrshire,None,None,0,0,NA,NA,NA,0
Female,49,2015,64,Arts,"UNIVERSITY OF THE WEST OF ENGLAND, BRISTOL",Warwickshire,None,None,0,0,NA,NA,NA,0
Non-binary,43,1998,47,Arts,UNIVERSITY OF ST MARK & ST JOHN,Kent,Salaried,Arts,149670,0,NA,NA,NA,0
Male,42,2010,54,Arts,MANCHESTER METROPOLITAN UNIVERSITY,Caernarvonshire,Contractual,Law,98033,1,Contractual:Law,Contractual:Transportation,Salaried:Law,0
Trans,49,2002,74,STEM,NEWCASTLE UNIVERSITY,Montgomeryshire,Salaried,Accounting,98821,0,NA,NA,NA,0
Trans,46,2003,58,STEM,UNIVERSITY OF ESSEX,Aberdeenshire,Salaried,Accounting,102961,0,NA,NA,NA,0
Non-binary,48,2019,44,Business,UNIVERSITY OF STIRLING,Dumfries and Galloway,Salaried,Arts,110888,0,NA,NA,NA,0
Non-binary,46,2017,59,Arts,LIVERPOOL HOPE UNIVERSITY,Clackmannanshire,Contractual,Law,148808,0,NA,NA,NA,0
Male,45,2019,64,Arts,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,Bedfordshire,Self Business,Transportation,143325,1,Salaried:Health,Contractual:Transportation,Self Business:Engineering,0
Trans,43,2010,40,Law,UNIVERSITY OF KEELE,Wiltshire,None,None,0,1,Salaried:IT,Salaried:Law,Salaried:Law,0
Female,42,2011,67,Arts,CARDIFF UNIVERSITY,Essex,Self Business,Engineering,55107,1,Contractual:Arts,Contractual:Engineering,Contractual:IT,0
Trans,45,2017,50,Arts,SWANSEA UNIVERSITY,Hampshire,Contractual,IT,80394,0,NA,NA,NA,0
Non-binary,41,2000,88,Business,COVENTRY UNIVERSITY,Surrey,Salaried,Health,98182,1,Self Business:Arts,Self Business:Accounting,Contractual:Accounting,1
Non-binary,44,2006,88,Law,ROYAL COLLEGE OF ART(THE),Derry and Londonderry,Contractual,Engineering,137929,1,Self Business:Law,Self Business:Arts,Contractual:Arts,1
Male,49,2012,59,Arts,NEWMAN UNIVERSITY,Falkirk,Contractual,Transportation,61418,0,NA,NA,NA,0
Trans,43,2007,56,Arts,LONDON BUSINESS SCHOOL,North Ayrshire,Self Business,Engineering,54539,1,Self Business:Engineering,Contractual:Arts,Contractual:Accounting,0
Trans,45,2007,83,Business,LEEDS METROPOLITAN UNIVERSITY,Falkirk,Contractual,IT,67849,1,Salaried:Arts,Self Business:Engineering,Contractual:Transportation,1
Male,42,2007,66,STEM,THE UNIVERSITY OF BUCKINGHAM,West Dunbartonshire,None,None,0,0,NA,NA,NA,0
Non-binary,46,2022,40,Law,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,Gloucestershire,Self Business,Accounting,114487,0,NA,NA,NA,0
Trans,46,2014,83,Law,NEWCASTLE UNIVERSITY,Shropshire,Salaried,Transportation,120032,1,Salaried:Health,Contractual:Arts,Salaried:Arts,1
Trans,41,2002,69,STEM,UNIVERSITY OF EAST LONDON,Durham,None,None,0,0,NA,NA,NA,0
Trans,47,2011,73,Arts,KINGSTON UNIVERSITY,Falkirk,None,None,0,0,NA,NA,NA,0
Male,47,2005,50,STEM,BIRKBECK COLLEGE,Oxfordshire,None,None,0,1,Contractual:Transportation,Salaried:Law,Salaried:Arts,0
Non-binary,47,2011,45,Arts,UNIVERSITY OF SHEFFIELD,West Lothian,Self Business,Health,125990,0,NA,NA,NA,0
Male,41,2021,47,Law,ST MARY'S UNIVERSITY COLLEGE,Dumfries and Galloway,Salaried,Engineering,87135,0,NA,NA,NA,0
Non-binary,49,2012,67,Arts,UNIVERSITY OF WINCHESTER,Derry and Londonderry,Self Business,Law,92232,0,NA,NA,NA,0
Female,44,2022,59,STEM,SHEFFIELD HALLAM UNIVERSITY,Oxfordshire,Salaried,Arts,83146,0,NA,NA,NA,0
Trans,45,2001,55,STEM,HERIOT-WATT UNIVERSITY,Aberdeen City,Contractual,Engineering,85818,0,NA,NA,NA,0
Female,48,2017,51,Law,ROYAL ACADEMY OF MUSIC,Eilean Siar,Self Business,Accounting,64196,1,Self Business:Transportation,Self Business:Engineering,Contractual:Transportation,0
Male,40,2008,85,STEM,STRANMILLIS UNIVERSITY COLLEGE,Cardiganshire,Salaried,IT,88271,1,Self Business:Health,Contractual:Health,Salaried:Engineering,1
Female,41,2008,64,Business,UNIVERSITY OF BRIGHTON,Angus,Self Business,Engineering,125362,1,Self Business:IT,Self Business:Accounting,Contractual:IT,0
Trans,49,2013,45,Business,THE ROBERT GORDON UNIVERSITY,East Lothian,Contractual,Accounting,147369,1,Self Business:Arts,Salaried:Transportation,Contractual:IT,0
Trans,41,2005,82,Law,UNIVERSITY OF GLOUCESTERSHIRE,Gloucestershire,Contractual,Law,137019,1,Self Business:Engineering,Salaried:Arts,Contractual:Engineering,1
Female,49,2007,55,Arts,UNIVERSITY OF LINCOLN,Dundee City,Salaried,Engineering,146151,0,NA,NA,NA,0
Male,43,2020,73,STEM,QUEEN MARY UNIVERSITY OF LONDON,Down,Contractual,IT,122828,1,Salaried:Transportation,Contractual:Accounting,Contractual:Accounting,0
Non-binary,47,2019,48,STEM,BATH SPA UNIVERSITY,West Sussex,Salaried,Accounting,65732,1,Self Business:Health,Contractual:IT,Salaried:Engineering,0
Male,48,2012,66,STEM,ROYAL NORTHERN COLLEGE OF MUSIC,Cleveland,None,None,0,1,Salaried:IT,Self Business:Arts,Contractual:Law,0
Male,49,2011,73,Arts,ANGLIA RUSKIN UNIVERSITY,North Lanarkshire,Salaried,Law,91786,1,Salaried:Engineering,Self Business:Law,Salaried:IT,1
Non-binary,47,2000,89,Arts,University College London,Cheshire,Salaried,Arts,0,1,Self Business:Engineering,Salaried:Law,Contractual:Engineering,1
Male,47,2015,60,Business,UNIVERSITY OF ABERTAY DUNDEE,Glasgow City,Contractual,IT,103925,0,NA,NA,NA,0
Non-binary,41,2004,41,STEM,ROYAL COLLEGE OF ART(THE),West Midlands,Self Business,Health,57620,1,Self Business:Engineering,Salaried:Engineering,Self Business:Arts,0
Trans,42,2006,74,Law,SWANSEA METROPOLITAN UNIVERSITY,Aberdeen City,Self Business,Law,118941,1,Self Business:Arts,Contractual:Accounting,Contractual:Transportation,0
Non-binary,40,2013,70,Business,STRANMILLIS UNIVERSITY COLLEGE,Wiltshire,None,None,59592,0,NA,NA,NA,0
Male,46,2007,54,Law,UNIVERSITY OF WALES: TRINITY SAINT DAVID,Breconshire,None,None,0,0,NA,NA,NA,0
Female,44,2006,81,Business,University College London,Greater London,Salaried,Law,111523,1,Salaried:Law,Salaried:Health,Contractual:IT,1
Male,45,2016,50,Law,UNIVERSITY OF HUDDERSFIELD,Dorset,Contractual,Law,87866,0,NA,NA,NA,0
Non-binary,40,2014,65,Law,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,Leicestershire,None,None,0,1,Contractual:Health,Self Business:IT,Contractual:Health,0
Trans,40,2006,78,STEM,KING'S COLLEGE LONDON,Falkirk,Salaried,Transportation,40095,1,Contractual:Health,Self Business:Engineering,Salaried:Engineering,0
Female,43,2006,75,Law,UNIVERSITY OF BIRMINGHAM,Hampshire,Salaried,Arts,44583,0,NA,NA,NA,0
Female,47,2018,87,STEM,UNIVERSITY OF LEEDS,Cornwall,Contractual,Law,54973,1,Salaried:Engineering,Contractual:Transportation,Salaried:Engineering,1
Male,48,1998,81,Arts,HERIOT-WATT UNIVERSITY,Somerset,Salaried,Accounting,90488,1,Contractual:Arts,Self Business:Health,Salaried:IT,1
Trans,49,1999,74,Arts,PRIFYSGOL ABERYSTWYTH,Nottinghamshire,Salaried,Arts,130986,1,Contractual:Arts,Self Business:Transportation,Salaried:Law,0
Non-binary,49,1999,84,Law, University of Oxford,Durham,Salaried,Accounting,0,1,Self Business:Arts,Salaried:IT,Contractual:Transportation,1
Female,46,2002,58,STEM,LONDON METROPOLITAN UNIVERSITY,Scottish Borders,None,None,0,0,NA,NA,NA,0
Male,43,1999,58,STEM,UNIVERSITY OF CENTRAL LANCASHIRE,Shropshire,None,None,0,1,Contractual:Accounting,Contractual:IT,Contractual:IT,0
Non-binary,43,2005,70,Arts,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,West Lothian,None,None,0,0,NA,NA,NA,0
Trans,43,2004,56,Law,THE UNIVERSITY OF MANCHESTER,North Lanarkshire,Salaried,Accounting,51076,0,NA,NA,NA,0
Non-binary,41,2016,49,Arts,COVENTRY UNIVERSITY,Flintshire,Self Business,Accounting,61890,1,Salaried:Law,Salaried:Law,Contractual:Engineering,0
Non-binary,43,2016,62,Arts,UNIVERSITY OF GLOUCESTERSHIRE,Down,None,None,0,1,Contractual:Accounting,Salaried:Law,Self Business:Accounting,0
Non-binary,45,2016,89,Business,University College London,Shetland Islands,Self Business,Health,74773,1,Salaried:Engineering,Self Business:Accounting,Contractual:Health,1
Non-binary,41,2008,41,Business,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Northumberland,Contractual,Arts,49242,0,NA,NA,NA,0
Non-binary,45,2020,89,Law,SWANSEA METROPOLITAN UNIVERSITY,Surrey,Salaried,IT,71915,1,Salaried:Accounting,Self Business:Health,Contractual:Arts,1
Trans,44,1999,57,Law,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,Greater London,Self Business,Health,129925,0,NA,NA,NA,0
Non-binary,46,1998,41,Arts,UNIVERSITY OF WOLVERHAMPTON,Merseyside,None,None,0,1,Contractual:Arts,Self Business:Transportation,Self Business:Accounting,0
Non-binary,47,2006,89,STEM,UNIVERSITY OF HERTFORDSHIRE,Norfolk,Salaried,Law,142863,1,Salaried:Arts,Salaried:Engineering,Contractual:IT,1
Female,48,2021,77,STEM,CARDIFF METROPOLITAN UNIVERSITY,Glasgow City,Self Business,Engineering,96250,0,NA,NA,NA,0
Non-binary,46,2007,89,Business,ROEHAMPTON UNIVERSITY,Essex,Self Business,Arts,121082,1,Salaried:Law,Salaried:Accounting,Contractual:IT,1
Trans,47,2006,47,STEM,UNIVERSITY OF LEICESTER,Falkirk,Self Business,Accounting,136706,1,Salaried:Transportation,Salaried:Accounting,Self Business:Engineering,0
Non-binary,48,2014,57,Arts,STAFFORDSHIRE UNIVERSITY,Flintshire,Self Business,Health,104966,1,Salaried:Engineering,Self Business:IT,Salaried:Law,0
Non-binary,42,2019,89,Law,MANCHESTER METROPOLITAN UNIVERSITY,South Yorkshire,Contractual,Transportation,47314,1,Self Business:IT,Salaried:Accounting,Contractual:Accounting,1
Female,40,2001,80,STEM,UNIVERSITY OF WALES: TRINITY SAINT DAVID,Dumfries and Galloway,Self Business,Law,109944,0,NA,NA,NA,0
Female,40,2006,70,Law,GOLDSMITHS' COLLEGE,Monmouthshire,None,None,0,1,Contractual:Law,Self Business:Health,Self Business:Arts,0
Female,42,2014,62,Law,LIVERPOOL HOPE UNIVERSITY,West Sussex,Contractual,IT,128749,0,NA,NA,NA,0
Male,40,2019,54,Arts,UNIVERSITY OF DUNDEE,Highland,Salaried,Arts,45968,1,Contractual:Accounting,Self Business:Accounting,Salaried:Health,0
Male,45,2008,46,Arts,UNIVERSITY OF BEDFORDSHIRE,Cleveland,None,None,0,0,NA,NA,NA,0
Male,42,2006,46,Arts,UNIVERSITY OF CHESTER,Fermanagh,Contractual,Accounting,125005,1,Self Business:Accounting,Salaried:Arts,Self Business:Accounting,0
Male,49,2017,77,STEM,Universirt of Cambridge,Wiltshire,Self Business,Health,97451,1,Self Business:Accounting,Salaried:Arts,Contractual:Arts,1
Non-binary,49,2013,57,Business,STAFFORDSHIRE UNIVERSITY,East Dunbartonshire,Contractual,Transportation,74077,1,Self Business:Health,Contractual:Arts,Contractual:Accounting,0
Non-binary,47,2011,42,Law,THE CONSERVATOIRE FOR DANCE AND DRAMA,Renfrewshire,None,None,0,0,NA,NA,NA,0
Male,46,2013,52,Arts,UNIVERSITY OF CENTRAL LANCASHIRE,Armagh,Self Business,Accounting,49365,1,Contractual:Accounting,Contractual:IT,Salaried:Health,0
Non-binary,45,2018,74,Business,BUCKINGHAMSHIRE NEW UNIVERSITY,Essex,Salaried,Engineering,105968,1,Salaried:Arts,Salaried:IT,Contractual:Health,1
Male,42,2009,70,Arts,UNIVERSITY OF KENT,Carmarthenshire,Self Business,Transportation,105593,0,NA,NA,NA,0
Female,48,2021,41,Business,THE UNIVERSITY OF CHICHESTER,Montgomeryshire,None,None,0,0,NA,NA,NA,0
Non-binary,49,2016,58,Arts,THE ROBERT GORDON UNIVERSITY,East Sussex,Contractual,Transportation,123967,0,NA,NA,NA,0
Trans,45,2001,72,Law,YORK ST JOHN UNIVERSITY,Lincolnshire,Contractual,Arts,146928,0,NA,NA,NA,0
Female,46,2007,86,Business,UNIVERSITY OF SUNDERLAND,Wiltshire,Self Business,IT,112795,1,Self Business:Transportation,Salaried:Engineering,Contractual:Transportation,1
Non-binary,46,2010,73,Law,University College London,Dorset,Contractual,Law,136733,1,Salaried:Law,Self Business:Health,Contractual:Accounting,1
Male,45,2017,58,Arts,CARDIFF UNIVERSITY,Cardiganshire,Self Business,Transportation,60926,0,NA,NA,NA,0
